DATE,FEDFUNDS,Inflation Rate
1994-10-01,4.76,2.609890109890118
1994-11-01,5.29,2.602739726027405
1994-12-01,5.45,2.5974025974025854
1995-01-01,5.53,2.8708133971291785
1995-02-01,5.92,2.8629856850715862
1995-03-01,5.98,2.787219578518011
1995-04-01,6.05,3.125000000000016
1995-05-01,6.01,3.1186440677966063
1995-06-01,6.0,3.0425963488843815
1995-07-01,5.85,2.8301886792452753
1995-08-01,5.74,2.617449664429534
1995-09-01,5.8,2.545210984594764
1995-10-01,5.76,2.7443105756358728
1995-11-01,5.8,2.6034712950600647
1995-12-01,5.6,2.531645569620261
1996-01-01,5.56,2.790697674418597
1996-02-01,5.22,2.7170311464546018
1996-03-01,5.31,2.8439153439153517
1996-04-01,5.22,2.832674571804995
1996-05-01,5.24,2.827087442472066
1996-06-01,5.27,2.821522309711275
1996-07-01,5.4,2.8833551769331627
1996-08-01,5.22,2.8122956180510026
1996-09-01,5.3,3.004572175048984
1996-10-01,5.24,3.0618892508143247
1996-11-01,5.31,3.253090435914119
1996-12-01,5.29,3.3788174139051255
1997-01-01,5.25,3.0381383322559907
1997-02-01,5.19,3.032258064516122
1997-03-01,5.39,2.7652733118971136
1997-04-01,5.51,2.434336963484953
1997-05-01,5.5,2.237851662404092
1997-06-01,5.56,2.2335673261008298
1997-07-01,5.52,2.165605095541405
1997-08-01,5.54,2.290076335877877
1997-09-01,5.54,2.219403931515536
1997-10-01,5.5,2.085967130214925
1997-11-01,5.52,1.890359168241966
1997-12-01,5.5,1.6970458830924056
1998-01-01,5.56,1.6311166875784155
1998-02-01,5.51,1.440200375704453
1998-03-01,5.49,1.3767209011264008
1998-04-01,5.45,1.4383989993745985
1998-05-01,5.49,1.6885553470919252
1998-06-01,5.56,1.6229712858926486
1998-07-01,5.54,1.7456359102244283
1998-08-01,5.55,1.6169154228855687
1998-09-01,5.51,1.4267990074441759
1998-10-01,5.07,1.486068111455112
1998-11-01,4.83,1.4842300556586308
1998-12-01,4.68,1.6069221260815787
1999-01-01,4.63,1.6666666666666596
1999-02-01,4.76,1.6666666666666596
1999-03-01,4.81,1.7283950617284023
1999-04-01,4.74,2.2811344019728836
1999-05-01,4.74,2.0910209102091057
1999-06-01,4.76,1.9656019656019585
1999-07-01,4.99,2.144607843137255
1999-08-01,5.07,2.2643818849449135
1999-09-01,5.22,2.629969418960252
1999-10-01,5.2,2.5625381330079247
1999-11-01,5.42,2.6203534430225544
1999-12-01,5.3,2.6763990267639937
2000-01-01,5.45,2.792956891317561
2000-02-01,5.73,3.217972070431094
2000-03-01,5.85,3.76213592233009
2000-04-01,6.02,3.013863773357444
